Date,Open,High,Low,Close,Volume,Adj. Close*
12-Jun-02,3359.27,3377.88,3337.39,3344.41,0,3344.41
11-Jun-02,3339.96,3368.56,3323.37,3362.42,0,3362.42
10-Jun-02,3231.09,3283.25,3231.09,3279.49,0,3279.49
7-Jun-02,3246.97,3246.97,3205.51,3217.76,0,3217.76
6-Jun-02,3277.35,3282.35,3229.38,3259.31,0,3259.31
5-Jun-02,3200.71,3269.24,3200.71,3255.52,0,3255.52
4-Jun-02,3161.43,3195.56,3161.43,3191.6,0,3191.6
3-Jun-02,3162.27,3185.57,3148.57,3161.09,0,3161.09
31-May-02,3136.41,3140.03,3097.73,3125.73,0,3125.73
30-May-02,3161.91,3192.5,3131.63,3135.89,0,3135.89
29-May-02,3155.67,3179.85,3108,3160.24,0,3160.24
28-May-02,3231.82,3231.82,3140.38,3146.83,0,3146.83
27-May-02,3264.19,3264.19,3200.94,3243.41,0,3243.41
24-May-02,3153.03,3261.9,3153.03,3255.62,0,3255.62
23-May-02,3193.64,3193.64,3106.56,3114.05,0,3114.05
22-May-02,3187.54,3198.81,3144.18,3175.49,0,3175.49
21-May-02,3266.16,3266.16,3127.87,3186.53,0,3186.53
20-May-02,3343.66,3361.77,3274.62,3282.81,0,3282.81
17-May-02,3357.29,3373.4,3310.86,3333.76,0,3333.76
16-May-02,3399.14,3405.29,3342.34,3355.61,0,3355.61
15-May-02,3422.07,3435.68,3382.11,3395.59,0,3395.59
14-May-02,3450.58,3458.58,3412,3420.33,0,3420.33
13-May-02,3436.87,3446.51,3429.88,3442.49,0,3442.49
10-May-02,3454.85,3456.78,3414.37,3431.32,0,3431.32
9-May-02,3458.31,3478.02,3448.37,3462.01,0,3462.01
8-May-02,3434.24,3453.75,3432.54,3435.06,0,3435.06
7-May-02,3378.22,3425.5,3372.24,3423.75,0,3423.75
6-May-02,3386.01,3394.89,3375.7,3384.35,0,3384.35
3-May-02,3372.75,3385.22,3364.85,3380.61,0,3380.61
2-May-02,3361.33,3383.93,3357.76,3372.56,0,3372.56
30-Apr-02,3303.1,3340.36,3303.1,3338.16,0,3338.16
29-Apr-02,3372.94,3372.94,3296.88,3301.21,0,3301.21
26-Apr-02,3364.18,3383.71,3362.83,3371.7,0,3371.7
25-Apr-02,3420.62,3421.88,3350.94,3359.64,0,3359.64
24-Apr-02,3408.84,3420.97,3401.55,3411.92,0,3411.92
23-Apr-02,3387.7,3412.16,3383.11,3403.82,0,3403.82
22-Apr-02,3364.18,3396.52,3332.74,3390.25,0,3390.25
19-Apr-02,3420.04,3430.37,3359.24,3364.4,0,3364.4
18-Apr-02,3425.71,3439.47,3408.04,3420.94,0,3420.94
17-Apr-02,3444.09,3458.79,3412.71,3421.82,0,3421.82
16-Apr-02,3459.08,3459.08,3411.73,3413.72,0,3413.72
15-Apr-02,3514.01,3533.02,3454.98,3461.51,0,3461.51
12-Apr-02,3496.39,3521.42,3488.62,3510.9,0,3510.9
11-Apr-02,3482.44,3512.28,3482.44,3497.67,0,3497.67
